Sample.ID	Patient.ID	changed
COLO792_SKIN	COLO792	wt
COLO794_SKIN	COLO794	wt
COLO800_SKIN	COLO800	wt
COLO818_SKIN	COLO818	wt
COLO824_BREAST	COLO824	wt
COLO829_SKIN	COLO829	mut
COLO849_SKIN	COLO849	mut
CORL105_LUNG	CORL105	wt
CORL23_LUNG	CORL23	wt
CORL24_LUNG	CORL24	wt
CORL279_LUNG	CORL279	wt
CORL303_LUNG	CORL303	wt
CORL311_LUNG	CORL311	wt
CORL32_LUNG	CORL32	wt
CORL321_PLEURA	CORL321	wt
CORL47_LUNG	CORL47	wt
CORL51_LUNG	CORL51	wt
CORL88_LUNG	CORL88	wt
CORL95_LUNG	CORL95	wt
COV318_OVARY	COV318	wt
COV362_OVARY	COV362	wt
COV413A_OVARY	COV413A	wt
COV434_OVARY	COV434	wt
COV504_OVARY	COV504	wt
COV644_OVARY	COV644	wt
CP50MELB_SKIN	CP50MELB	mut
CP66MEL_SKIN	CP66MEL	wt
CP67MEL_SKIN	CP67MEL	wt
CPCN_LUNG	CPCN	wt
CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CROAP2	wt
CROAP3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CROAP3	wt
CS1_BONE	CS1	wt
CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CTB1	wt
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CTV1	wt
CW2_LARGE_INTESTINE	CW2	wt
CW9019_SOFT_TISSUE	CW9019	wt
D245MG_CENTRAL_NERVOUS_SYSTEM	D245MG	wt
D247MG_CENTRAL_NERVOUS_SYSTEM	D247MG	wt
D263MG_CENTRAL_NERVOUS_SYSTEM	D263MG	wt
D283MED_CENTRAL_NERVOUS_SYSTEM	D283MED	wt
D336MG_CENTRAL_NERVOUS_SYSTEM	D336MG	wt
D341MED_CENTRAL_NERVOUS_SYSTEM	D341MED	wt
D392MG_CENTRAL_NERVOUS_SYSTEM	D392MG	wt
D423MG_CENTRAL_NERVOUS_SYSTEM	D423MG	wt
D425_CENTRAL_NERVOUS_SYSTEM	D425	wt
D458_CENTRAL_NERVOUS_SYSTEM	D458	wt
D502MG_CENTRAL_NERVOUS_SYSTEM	D502MG	wt
D542MG_CENTRAL_NERVOUS_SYSTEM	D542MG	wt
D566MG_CENTRAL_NERVOUS_SYSTEM	D566MG	wt
DANG_PANCREAS	DANG	wt
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY	wt
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI	wt
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	wt
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG	wt
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	wt
DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DERL2	wt
DETROIT562_UPPER_AERODIGESTIVE_TRACT	DETROIT562	wt
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DG75	wt
DIFI_LARGE_INTESTINE	DIFI	wt
DIPG007_CENTRAL_NERVOUS_SYSTEM	DIPG007	wt
DJM1_SKIN	DJM1	wt
DKMG_CENTRAL_NERVOUS_SYSTEM	DKMG	mut
DL_SOFT_TISSUE	DL	wt
DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DL40	wt
DLD1_LARGE_INTESTINE	DLD1	wt
DMS114_LUNG	DMS114	wt
DMS153_LUNG	DMS153	wt
DMS273_LUNG	DMS273	wt
DMS454_LUNG	DMS454	wt
DMS53_LUNG	DMS53	wt
DMS79_LUNG	DMS79	mut
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DND41	wt
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH2	wt
DOK_UPPER_AERODIGESTIVE_TRACT	DOK	wt
DOTC24510_CERVIX	DOTC24510	wt
DOV13_OVARY	DOV13	wt
DSH1_URINARY_TRACT	DSH1	wt
DU145_PROSTATE	DU145	wt
DU4475_BREAST	DU4475	wt
DV90_LUNG	DV90	wt
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	mut
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	wt
EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB3	wt
EBC1_LUNG	EBC1	wt
ECC10_STOMACH	ECC10	wt
ECC12_STOMACH	ECC12	wt
ECGI10_OESOPHAGUS	ECGI10	wt
EFE184_ENDOMETRIUM	EFE184	wt
EFM19_BREAST	EFM19	wt
EFM192A_BREAST	EFM192A	wt
EFO21_OVARY	EFO21	wt
EFO27_OVARY	EFO27	wt
EGI1_BILIARY_TRACT	EGI1	wt
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB	wt
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EJM	wt
EKVX_LUNG	EKVX	wt
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM2	wt
EMCBAC1_LUNG	EMCBAC1	wt
EMCBAC2_LUNG	EMCBAC2	wt
EN_ENDOMETRIUM	EN	wt
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1	wt
EPLC272H_LUNG	EPLC272H	wt
ES1_BONE	ES1	wt
ES2_OVARY	ES2	wt
ES3_BONE	ES3	wt
ES4_BONE	ES4	wt
ES5_BONE	ES5	wt
ES6_BONE	ES6	wt
ES7_BONE	ES7	wt
ES8_BONE	ES8	wt
ESO26_OESOPHAGUS	ESO26	wt
ESO51_OESOPHAGUS	ESO51	wt
ESS1_ENDOMETRIUM	ESS1	wt
ETK1_BILIARY_TRACT	ETK1	wt
EVSAT_BREAST	EVSAT	wt
EW1_BONE	EW1	wt
EW11_BONE	EW11	wt
EW12_BONE	EW12	wt
EW13_BONE	EW13	wt
EW16_BONE	EW16	wt
EW18_BONE	EW18	wt
EW22_BONE	EW22	wt
EW24_BONE	EW24	wt
EW3_BONE	EW3	wt
EW7_BONE	EW7	wt
EW8_BONE	EW8	wt
EWS502_BONE	EWS502	wt
EWS834_BONE	EWS834	wt
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P	wt
F5_CENTRAL_NERVOUS_SYSTEM	F5	wt
FADU_UPPER_AERODIGESTIVE_TRACT	FADU	wt
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	FARAGE	wt
FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	FEPD	wt
FLO1_OESOPHAGUS	FLO1	wt
FTC133_THYROID	FTC133	mut
FTC238_THYROID	FTC238	wt
FU97_STOMACH	FU97	wt
FUOV1_OVARY	FUOV1	wt
G292CLONEA141B1_BONE	G292CLONEA141B1	wt
G361_SKIN	G361	wt
