Sample ID	Patient ID	changed
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BHT101_THYROID	BHT101_THYROID	mut
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
BCPAP_THYROID	BCPAP_THYROID	mut
CL34_LARGE_INTESTINE	CL34_LARGE_INTESTINE	mut
JHUEM7_ENDOMETRIUM	JHUEM7_ENDOMETRIUM	
BICR10_UPPER_AERODIGESTIVE_TRACT	BICR10_UPPER_AERODIGESTIVE_TRACT	
KYSE220_OESOPHAGUS	KYSE220_OESOPHAGUS	
KMOE2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMOE2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
TGBC24TKB_BILIARY_TRACT	TGBC24TKB_BILIARY_TRACT	
GP5D_LARGE_INTESTINE	GP5D_LARGE_INTESTINE	
ISTSL2_LUNG	ISTSL2_LUNG	
CP50MELB_SKIN	CP50MELB_SKIN	mut
GMEL_SKIN	GMEL_SKIN	mut
HMVII_SKIN	HMVII_SKIN	
ISTMEL1_SKIN	ISTMEL1_SKIN	mut
MMACSF_SKIN	MMACSF_SKIN	mut
MZ7MEL_SKIN	MZ7MEL_SKIN	mut
WM1552C_SKIN	WM1552C_SKIN	mut
WM278_SKIN	WM278_SKIN	mut
WM35_SKIN	WM35_SKIN	mut
SW872_SOFT_TISSUE	SW872_SOFT_TISSUE	mut
SW982_SOFT_TISSUE	SW982_SOFT_TISSUE	mut
IHH4_THYROID	IHH4_THYROID	mut
K5_THYROID	K5_THYROID	mut
C33A_CERVIX	C33A_CERVIX	
SISO_CERVIX	SISO_CERVIX	
CP67MEL_SKIN	CP67MEL_SKIN	mut
HEY_OVARY	HEY_OVARY	
K2_SKIN	K2_SKIN	mut
VMRCMELG_SKIN	VMRCMELG_SKIN	mut
451LU_SKIN	451LU_SKIN	mut
M14_SKIN	M14_SKIN	mut
HTCC3_THYROID	HTCC3_THYROID	mut
COLO794_SKIN	COLO794_SKIN	mut
HKA1_SKIN	HKA1_SKIN	
HMY1_SKIN	HMY1_SKIN	mut
MM127_SKIN	MM127_SKIN	
MM370_SKIN	MM370_SKIN	mut
MM383_SKIN	MM383_SKIN	mut
MM386_SKIN	MM386_SKIN	mut
MM426_SKIN	MM426_SKIN	mut
SEKI_SKIN	SEKI_SKIN	mut
ACN_AUTONOMIC_GANGLIA	ACN_AUTONOMIC_GANGLIA	mut
M00921_SKIN	M00921_SKIN	mut
M1203273_SKIN	M1203273_SKIN	mut
M980513_SKIN	M980513_SKIN	mut
NCIBL1395_MATCHED_NORMAL_TISSUE	NCIBL1395_MATCHED_NORMAL_TISSUE	
DMS53_LUNG	DMS53_LUNG	wt
SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	wt
NCIH1694_LUNG	NCIH1694_LUNG	wt
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
UMUC3_URINARY_TRACT	UMUC3_URINARY_TRACT	wt
HOS_BONE	HOS_BONE	wt
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
