Sample.ID	Patient.ID	changed
COLO201_LARGE_INTESTINE	COLO201	wt
NCIH358_LUNG	NCIH358	wt
CFPAC1_PANCREAS	CFPAC1	wt
NIHOVCAR3_OVARY	NIHOVCAR3	wt
NCIH1650_LUNG	NCIH1650	wt
NCIH1793_LUNG	NCIH1793	wt
NCIH1437_LUNG	NCIH1437	wt
HS578T_BREAST	HS578T	wt
SNU182_LIVER	SNU182	wt
SKNMC_BONE	SKNMC	wt
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH	wt
SJRH30_SOFT_TISSUE	SJRH30	wt
MDAMB436_BREAST	MDAMB436	wt
PANC0213_PANCREAS	PANC0213	wt
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	wt
RDES_BONE	RDES	wt
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27	wt
MESSA_SOFT_TISSUE	MESSA	wt
SW1271_LUNG	SW1271	wt
NCIH1792_LUNG	NCIH1792	wt
GCT_SOFT_TISSUE	GCT	wt
SKBR3_BREAST	SKBR3	wt
NCIH82_LUNG	NCIH82	wt
NCIN87_STOMACH	NCIN87	wt
U2OS_BONE	U2OS	wt
H4_CENTRAL_NERVOUS_SYSTEM	H4	wt
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1	wt
HCC1143_BREAST	HCC1143	wt
T24_URINARY_TRACT	T24	wt
G401_SOFT_TISSUE	G401	wt
HCC1569_BREAST	HCC1569	wt
OCUM1_STOMACH	OCUM1	wt
SAOS2_BONE	SAOS2	wt
D283MED_CENTRAL_NERVOUS_SYSTEM	D283MED	wt
SCC9_UPPER_AERODIGESTIVE_TRACT	SCC9	wt
HCC1395_BREAST	HCC1395	wt
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMCG1	wt
TE9_OESOPHAGUS	TE9	wt
KYSE520_OESOPHAGUS	KYSE520	wt
IALM_LUNG	IALM	wt
NCIH2052_PLEURA	NCIH2052	wt
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	wt
SKNFI_AUTONOMIC_GANGLIA	SKNFI	wt
SKNAS_AUTONOMIC_GANGLIA	SKNAS	wt
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA10	wt
SNU398_LIVER	SNU398	wt
SNU423_LIVER	SNU423	wt
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC4	wt
HCC1187_BREAST	HCC1187	wt
SNU387_LIVER	SNU387	wt
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI	wt
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	wt
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ	wt
C2BBE1_LARGE_INTESTINE	C2BBE1	wt
SKES1_BONE	SKES1	wt
EPLC272H_LUNG	EPLC272H	wt
BXPC3_PANCREAS	BXPC3	wt
NCIH1355_LUNG	NCIH1355	wt
SNU5_STOMACH	SNU5	wt
SNU475_LIVER	SNU475	wt
HCC1438_LUNG	HCC1438	wt
RPMI7951_SKIN	RPMI7951	wt
SNU1066_UPPER_AERODIGESTIVE_TRACT	SNU1066	wt
SNU1041_UPPER_AERODIGESTIVE_TRACT	SNU1041	wt
HCC2108_LUNG	HCC2108	wt
COLO783_SKIN	COLO783	wt
HCC1359_LUNG	HCC1359	wt
COV362_OVARY	COV362	wt
COLO792_SKIN	COLO792	wt
COV434_OVARY	COV434	wt
WM983B_SKIN	WM983B	wt
HS751T_FIBROBLAST	HS751T	wt
LS513_LARGE_INTESTINE	LS513	wt
NCIH2110_LUNG	NCIH2110	wt
CHAGOK1_LUNG	CHAGOK1	wt
DMS454_LUNG	DMS454	wt
FTC238_THYROID	FTC238	wt
DMS273_LUNG	DMS273	wt
FTC133_THYROID	FTC133	wt
CORL311_LUNG	CORL311	wt
NCIH2286_LUNG	NCIH2286	wt
NCIH1339_LUNG	NCIH1339	wt
A704_KIDNEY	A704	wt
WM1799_SKIN	WM1799	wt
WM88_SKIN	WM88	wt
HS255T_FIBROBLAST	HS255T	wt
SW837_LARGE_INTESTINE	SW837	wt
JHH6_LIVER	JHH6	wt
IGR1_SKIN	IGR1	wt
NCIH1436_LUNG	NCIH1436	wt
NCIH1876_LUNG	NCIH1876	wt
COV644_OVARY	COV644	wt
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PECAPJ15	wt
CORL88_LUNG	CORL88	wt
CORL95_LUNG	CORL95	wt
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	PECAPJ49	wt
CORL51_LUNG	CORL51	wt
RT11284_URINARY_TRACT	RT11284	wt
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	PECAPJ41CLONED2	wt
HT55_LARGE_INTESTINE	HT55	wt
MDST8_LARGE_INTESTINE	MDST8	wt
SUIT2_PANCREAS	SUIT2	wt
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPM2	wt
SKHEP1_LIVER	SKHEP1	wt
OVCAR8_OVARY	OVCAR8	wt
NCIH2172_LUNG	NCIH2172	wt
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	ISHIKAWAHERAKLIO02ER	wt
SKCO1_LARGE_INTESTINE	SKCO1	wt
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS299	wt
YAPC_PANCREAS	YAPC	wt
A253_SALIVARY_GLAND	A253	wt
HCC366_LUNG	HCC366	wt
SNU349_KIDNEY	SNU349	wt
UMUC1_URINARY_TRACT	UMUC1	wt
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA	wt
NCIH292_LUNG	NCIH292	wt
59M_OVARY	59M	wt
U118MG_CENTRAL_NERVOUS_SYSTEM	U118MG	wt
VMRCLCD_LUNG	VMRCLCD	wt
HCC1833_LUNG	HCC1833	wt
RH30_SOFT_TISSUE	RH30	wt
SNU668_STOMACH	SNU668	wt
GB1_CENTRAL_NERVOUS_SYSTEM	GB1	wt
KURAMOCHI_OVARY	KURAMOCHI	wt
COLO684_ENDOMETRIUM	COLO684	wt
GRM_SKIN	GRM	wt
SNU685_ENDOMETRIUM	SNU685	wt
SNU886_LIVER	SNU886	wt
NCCSTCK140_STOMACH	NCCSTCK140	wt
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU489	wt
A2058_SKIN	A2058	wt
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK	wt
SNU175_LARGE_INTESTINE	SNU175	wt
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU201	wt
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS20	wt
SNU216_STOMACH	SNU216	wt
SNU1196_BILIARY_TRACT	SNU1196	wt
SNU1079_BILIARY_TRACT	SNU1079	wt
NCIH854_LUNG	NCIH854	wt
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU466	wt
YD38_UPPER_AERODIGESTIVE_TRACT	YD38	wt
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105	wt
