Sample.ID	Patient.ID	changed
SNU283_LARGE_INTESTINE	SNU283_LARGE_INTESTINE	wt
SNU46_UPPER_AERODIGESTIVE_TRACT	SNU46_UPPER_AERODIGESTIVE_TRACT	wt
SNU308_BILIARY_TRACT	SNU308_BILIARY_TRACT	wt
SNU245_BILIARY_TRACT	SNU245_BILIARY_TRACT	wt
SNU478_BILIARY_TRACT	SNU478_BILIARY_TRACT	wt
SNU410_PANCREAS	SNU410_PANCREAS	wt
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	wt
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	wt
SNU878_LIVER	SNU878_LIVER	wt
SNU840_OVARY	SNU840_OVARY	wt
SNU8_OVARY	SNU8_OVARY	wt
NCIH684_LIVER	NCIH684_LIVER	wt
IGR39_SKIN	IGR39_SKIN	wt
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY_CENTRAL_NERVOUS_SYSTEM	wt
HEP3B217_LIVER	HEP3B217_LIVER	wt
KYM1_SOFT_TISSUE	KYM1_SOFT_TISSUE	wt
LC1F_LUNG	LC1F_LUNG	wt
HLE_LIVER	HLE_LIVER	wt
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
PK45H_PANCREAS	PK45H_PANCREAS	wt
CPCN_LUNG	CPCN_LUNG	wt
NUGC2_STOMACH	NUGC2_STOMACH	wt
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	wt
KMRC3_KIDNEY	KMRC3_KIDNEY	wt
NCIH2023_LUNG	NCIH2023_LUNG	wt
DMS153_LUNG	DMS153_LUNG	wt
NCIH660_PROSTATE	NCIH660_PROSTATE	wt
NCIH1618_LUNG	NCIH1618_LUNG	wt
HS675T_FIBROBLAST	HS675T_FIBROBLAST	wt
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HS839T_FIBROBLAST	HS839T_FIBROBLAST	wt
HS939T_SKIN	HS939T_SKIN	wt
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HS819T_FIBROBLAST	HS819T_FIBROBLAST	wt
DV90_LUNG	DV90_LUNG	wt
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SKNBE2_AUTONOMIC_GANGLIA	SKNBE2_AUTONOMIC_GANGLIA	wt
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
TO175T_FIBROBLAST	TO175T_FIBROBLAST	wt
GLC82_LUNG	GLC82_LUNG	wt
MG63_BONE	MG63_BONE	wt
PK1_PANCREAS	PK1_PANCREAS	wt
TE617T_SOFT_TISSUE	TE617T_SOFT_TISSUE	wt
SW1088_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	wt
NCIH1930_LUNG	NCIH1930_LUNG	wt
NCIH1623_LUNG	NCIH1623_LUNG	wt
HS229T_FIBROBLAST	HS229T_FIBROBLAST	wt
HS688AT_FIBROBLAST	HS688AT_FIBROBLAST	wt
HS822T_FIBROBLAST	HS822T_FIBROBLAST	wt
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
G292CLONEA141B1_BONE	G292CLONEA141B1_BONE	wt
RCM1_LARGE_INTESTINE	RCM1_LARGE_INTESTINE	wt
HS737T_FIBROBLAST	HS737T_FIBROBLAST	wt
HS616T_FIBROBLAST	HS616T_FIBROBLAST	wt
TE159T_FIBROBLAST	TE159T_FIBROBLAST	wt
A101D_SKIN	A101D_SKIN	wt
NCIH1755_LUNG	NCIH1755_LUNG	wt
SW780_URINARY_TRACT	SW780_URINARY_TRACT	wt
HS683_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	wt
HS729_SOFT_TISSUE	HS729_SOFT_TISSUE	wt
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
DMS114_LUNG	DMS114_LUNG	wt
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
SW1353_BONE	SW1353_BONE	wt
769P_KIDNEY	769P_KIDNEY	wt
NCIH209_LUNG	NCIH209_LUNG	wt
MCAS_OVARY	MCAS_OVARY	wt
SBC5_LUNG	SBC5_LUNG	wt
COLO829_SKIN	COLO829_SKIN	wt
COLO704_OVARY	COLO704_OVARY	wt
EFM192A_BREAST	EFM192A_BREAST	wt
A2780_OVARY	A2780_OVARY	wt
HS571T_OVARY	HS571T_OVARY	wt
MDAPCA2B_PROSTATE	MDAPCA2B_PROSTATE	wt
K029AX_SKIN	K029AX_SKIN	wt
HT1376_URINARY_TRACT	HT1376_URINARY_TRACT	wt
LOUNH91_LUNG	LOUNH91_LUNG	wt
LK2_LUNG	LK2_LUNG	wt
TOV21G_OVARY	TOV21G_OVARY	wt
SKMEL3_SKIN	SKMEL3_SKIN	wt
ASPC1_PANCREAS	ASPC1_PANCREAS	wt
NCIH441_LUNG	NCIH441_LUNG	wt
RERFLCSQ1_LUNG	RERFLCSQ1_LUNG	wt
FUOV1_OVARY	FUOV1_OVARY	wt
T98G_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	wt
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	wt
HEYA8_OVARY	HEYA8_OVARY	wt
NCIH2122_LUNG	NCIH2122_LUNG	wt
SW620_LARGE_INTESTINE	SW620_LARGE_INTESTINE	wt
HUH1_LIVER	HUH1_LIVER	wt
TYKNU_OVARY	TYKNU_OVARY	wt
MELHO_SKIN	MELHO_SKIN	wt
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
G361_SKIN	G361_SKIN	wt
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HLFA_FIBROBLAST	HLFA_FIBROBLAST	wt
42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA_CENTRAL_NERVOUS_SYSTEM	wt
