Sample.ID	Patient.ID	changed
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KE39_STOMACH	KE39_STOMACH	wt
KURAMOCHI_OVARY	KURAMOCHI_OVARY	wt
SNU685_ENDOMETRIUM	SNU685_ENDOMETRIUM	wt
SNU1196_BILIARY_TRACT	SNU1196_BILIARY_TRACT	wt
SNU245_BILIARY_TRACT	SNU245_BILIARY_TRACT	wt
PSN1_PANCREAS	PSN1_PANCREAS	mut
CORL23_LUNG	CORL23_LUNG	mut
CALU6_LUNG	CALU6_LUNG	mut
NCIH650_LUNG	NCIH650_LUNG	mut
NUGC2_STOMACH	NUGC2_STOMACH	
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	mut
KPNSI9S_AUTONOMIC_GANGLIA	KPNSI9S_AUTONOMIC_GANGLIA	mut
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
SKGT4_OESOPHAGUS	SKGT4_OESOPHAGUS	mut
EMCBAC2_LUNG	EMCBAC2_LUNG	mut
GEO_LARGE_INTESTINE	GEO_LARGE_INTESTINE	mut
C84_LARGE_INTESTINE	C84_LARGE_INTESTINE	mut
KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
PACADD119_PANCREAS	PACADD119_PANCREAS	mut
UMUC3_URINARY_TRACT	UMUC3_URINARY_TRACT	mut
OV56_OVARY	OV56_OVARY	mut
HCC1171_LUNG	HCC1171_LUNG	mut
SW1463_LARGE_INTESTINE	SW1463_LARGE_INTESTINE	mut
NCIH1792_LUNG	NCIH1792_LUNG	mut
SW1573_LUNG	SW1573_LUNG	mut
NCIH1373_LUNG	NCIH1373_LUNG	mut
MIAPACA2_PANCREAS	MIAPACA2_PANCREAS	mut
NCIH2030_LUNG	NCIH2030_LUNG	mut
NCIH2122_LUNG	NCIH2122_LUNG	mut
HCC44_LUNG	HCC44_LUNG	mut
NCIH1385_LUNG	NCIH1385_LUNG	mut
LAN6_AUTONOMIC_GANGLIA	LAN6_AUTONOMIC_GANGLIA	mut
SW756_CERVIX	SW756_CERVIX	mut
A427_LUNG	A427_LUNG	mut
SNU1197_LARGE_INTESTINE	SNU1197_LARGE_INTESTINE	mut
PANC0203_PANCREAS	PANC0203_PANCREAS	mut
HEC50B_ENDOMETRIUM	HEC50B_ENDOMETRIUM	mut
PK1_PANCREAS	PK1_PANCREAS	mut
SW1990_PANCREAS	SW1990_PANCREAS	mut
HPAC_PANCREAS	HPAC_PANCREAS	mut
SNU61_LARGE_INTESTINE	SNU61_LARGE_INTESTINE	mut
TGBC11TKB_STOMACH	TGBC11TKB_STOMACH	mut
HCC1588_LUNG	HCC1588_LUNG	mut
SNU1033_LARGE_INTESTINE	SNU1033_LARGE_INTESTINE	mut
GSU_STOMACH	GSU_STOMACH	mut
HUCCT1_BILIARY_TRACT	HUCCT1_BILIARY_TRACT	mut
LS513_LARGE_INTESTINE	LS513_LARGE_INTESTINE	mut
GP2D_LARGE_INTESTINE	GP2D_LARGE_INTESTINE	mut
SUIT2_PANCREAS	SUIT2_PANCREAS	mut
SNU407_LARGE_INTESTINE	SNU407_LARGE_INTESTINE	mut
SNU410_PANCREAS	SNU410_PANCREAS	mut
SNU8_OVARY	SNU8_OVARY	mut
NCIH684_LIVER	NCIH684_LIVER	mut
T3M10_LUNG	T3M10_LUNG	mut
SNU1_STOMACH	SNU1_STOMACH	mut
PANC0813_PANCREAS	PANC0813_PANCREAS	mut
PANC0504_PANCREAS	PANC0504_PANCREAS	mut
MCAS_OVARY	MCAS_OVARY	mut
ASPC1_PANCREAS	ASPC1_PANCREAS	mut
HEYA8_OVARY	HEYA8_OVARY	mut
PANC0403_PANCREAS	PANC0403_PANCREAS	mut
HEC1A_ENDOMETRIUM	HEC1A_ENDOMETRIUM	mut
AGS_STOMACH	AGS_STOMACH	mut
LS180_LARGE_INTESTINE	LS180_LARGE_INTESTINE	mut
CL40_LARGE_INTESTINE	CL40_LARGE_INTESTINE	mut
COLO678_LARGE_INTESTINE	COLO678_LARGE_INTESTINE	mut
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KP1NL_PANCREAS	KP1NL_PANCREAS	mut
KP1N_PANCREAS	KP1N_PANCREAS	mut
SNUC2B_LARGE_INTESTINE	SNUC2B_LARGE_INTESTINE	mut
HCC461_LUNG	HCC461_LUNG	mut
EGI1_BILIARY_TRACT	EGI1_BILIARY_TRACT	mut
GP5D_LARGE_INTESTINE	GP5D_LARGE_INTESTINE	mut
PL4_PANCREAS	PL4_PANCREAS	mut
HEY_OVARY	HEY_OVARY	mut
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
PACADD188_PANCREAS	PACADD188_PANCREAS	mut
SUM229PE_BREAST	SUM229PE_BREAST	mut
HEC1B_ENDOMETRIUM	HEC1B_ENDOMETRIUM	mut
HEC1_ENDOMETRIUM	HEC1_ENDOMETRIUM	mut
SISO_CERVIX	SISO_CERVIX	mut
HUPT3_PANCREAS	HUPT3_PANCREAS	mut
KP2_PANCREAS	KP2_PANCREAS	mut
CAL62_THYROID	CAL62_THYROID	mut
LS123_LARGE_INTESTINE	LS123_LARGE_INTESTINE	mut
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
A549_LUNG	A549_LUNG	mut
HKA1_SKIN	HKA1_SKIN	mut
JHU028_LUNG	JHU028_LUNG	mut
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
COLO668_LUNG	COLO668_LUNG	mut
SHP77_LUNG	SHP77_LUNG	mut
PATU8988S_PANCREAS	PATU8988S_PANCREAS	mut
RERFLCAD2_LUNG	RERFLCAD2_LUNG	mut
SNGM_ENDOMETRIUM	SNGM_ENDOMETRIUM	mut
SNU213_PANCREAS	SNU213_PANCREAS	mut
KP3_PANCREAS	KP3_PANCREAS	mut
HMC18_BREAST	HMC18_BREAST	mut
CAPAN1_PANCREAS	CAPAN1_PANCREAS	mut
HCC56_LARGE_INTESTINE	HCC56_LARGE_INTESTINE	mut
RCM1_LARGE_INTESTINE	RCM1_LARGE_INTESTINE	mut
CAPAN2_PANCREAS	CAPAN2_PANCREAS	mut
PANC0327_PANCREAS	PANC0327_PANCREAS	mut
SW403_LARGE_INTESTINE	SW403_LARGE_INTESTINE	mut
NCIH2444_LUNG	NCIH2444_LUNG	mut
HUPT4_PANCREAS	HUPT4_PANCREAS	mut
PATU8988T_PANCREAS	PATU8988T_PANCREAS	mut
LCLC97TM1_LUNG	LCLC97TM1_LUNG	mut
OVCAR5_OVARY	OVCAR5_OVARY	mut
NCIH2887_LUNG	NCIH2887_LUNG	mut
MZ1PC_PANCREAS	MZ1PC_PANCREAS	mut
JOPACA1_PANCREAS	JOPACA1_PANCREAS	mut
PACADD135_PANCREAS	PACADD135_PANCREAS	mut
PACADD161_PANCREAS	PACADD161_PANCREAS	mut
SW626_OVARY	SW626_OVARY	mut
YD8_UPPER_AERODIGESTIVE_TRACT	YD8_UPPER_AERODIGESTIVE_TRACT	mut
NCIH1355_LUNG	NCIH1355_LUNG	mut
MORCPR_LUNG	MORCPR_LUNG	mut
TOV21G_OVARY	TOV21G_OVARY	mut
HCC2108_LUNG	HCC2108_LUNG	mut
MDAMB231_BREAST	MDAMB231_BREAST	mut
NCIH647_LUNG	NCIH647_LUNG	mut
